GEO_UNIQUE_ID,YEAR,NUM_FIRES,TOTAL_AREA_BURNED_IN_M2,AVG_FIRE_DURATION_DAYS,MAX_PCT_TRACT_BURNED
001435103,2020,1,30.436005981623726,26.0,5.876834839178393e-05
001450601,2020,1,83396.14244713502,26.0,0.16647789139636798
001450701,2020,1,46920629.39515517,26.0,17.805173620410194
003010000,2012,1,587502.9300300493,6.0,0.03072243901793473
003010000,2014,1,381280.9694132899,9.0,0.01993842197672053
003010000,2015,1,71951242.38074152,20.0,3.762564479795718
003010000,2016,1,2629953.2913496285,1.0,0.13752881131907385
003010000,2017,2,15013237.826867921,56.5,0.7719204824660868
003010000,2018,3,849151.4964892889,13.666666666666666,0.04180719836441187
003010000,2019,1,86953.42472074443,1.0,0.004547077387762156
003010000,2020,1,51482705.111867875,76.0,2.6921980937129604
003010000,2021,5,219424482.9859666,74.2,11.03918698863427
003010000,2023,1,131903.10156477493,7.0,0.006897642185193833
005000102,2013,1,66060.92878518214,2.0,0.014480562717624117
005000102,2016,1,314877.0581250123,43.0,0.06902108511594164
005000102,2017,1,691.085622964284,5.0,0.00015148604312126092
005000102,2021,1,4752556.5303706415,95.0,1.0417609042536322
005000301,2018,1,3329894.085632055,4.0,1.702851930797402
005000303,2016,1,1423567.1827246754,1.0,1.0448229029672307
005000304,2016,1,848027.3906566353,2.0,0.5984471240891374
005000304,2023,2,399802.9580764802,1.0,0.20270457916708998
005000402,2015,1,4035901.5723934397,18.0,5.5094625311692065
005000402,2022,1,3486202.968280061,24.0,4.759061707840248
005000500,2015,1,10409049.633895935,18.0,9.599515662427319
005000500,2022,1,6972514.181063089,24.0,6.430246894937697
007000901,2017,1,5078.733640398554,3.0,0.030914513389830627
007000901,2018,1,9591285.35768188,18.0,58.382648236790445
007001400,2021,1,2221698.813276335,4.0,0.7001587269778056
007001500,2018,1,795265.3744000942,18.0,0.22686178009575678
007001702,2013,1,5001.094860443105,1.0,0.014516073759073694
007001702,2018,1,17915276.322701164,18.0,52.00050784309157
007001703,2018,1,2448123.6516318717,18.0,64.119418785566
007001704,2018,1,23522391.453942697,18.0,7.2270955414526705
007001704,2020,3,4244818.106000139,21.666666666666668,1.174129935198389
007001704,2021,2,37962806.046215296,67.5,11.56443909429909
007001704,2023,1,36702.357243606086,1.0,0.01127655080970131
007001800,2018,1,12111219.992463721,18.0,100.0
007001900,2018,1,8765685.37954362,18.0,100.0
007002000,2018,1,7170334.032581949,18.0,100.0
007002100,2017,1,363.6985856915161,21.0,0.003941279002475593
007002100,2018,1,9237613.101406364,18.0,100.0
007002200,2016,1,2189738.9196897903,6.0,1.6002834079458503
007002200,2017,2,874759.2491926922,12.0,0.42098437530879035
007002200,2018,1,107073875.08616847,18.0,78.25067371462534
007002300,2016,1,1834609.1687314096,12.0,2.4274861840741817
007002300,2018,1,47873222.79916899,18.0,63.3440565504453
007002500,2012,1,474930.69599346415,8.0,0.3672061575630148
007002500,2013,1,280271.0226505005,9.0,0.2166995019946306
007002500,2016,1,435969.6967008215,3.0,0.3370823543097007
007002500,2017,1,31809981.105637293,28.0,24.59479042414626
007002500,2018,1,11893250.664429987,18.0,9.195604567701409
007002500,2020,3,4068999.592891175,10.666666666666666,2.8955286503178095
007002601,2016,1,55823.98481658451,3.0,0.27743761176458503
007002601,2017,1,3288975.3436718415,27.0,16.345760115459093
007002602,2020,1,1358371.5169589948,108.0,7.445201161720158
007002900,2020,1,418168.01090339804,8.0,6.519959132591968
007003200,2013,1,858624.9892805286,1.0,2.1817026117430136
007003300,2013,2,305614.21557896415,8.5,0.073877462965182
007003300,2015,3,2059477.3026554678,10.333333333333334,0.5116135042713319
007003300,2017,2,18127472.38166026,22.5,5.140713335969896
007003300,2018,1,1824213.6959746473,13.0,0.5913041619013283
007003300,2020,3,967387.982393103,6.0,0.1804731758325265
007003700,2017,1,2247565.582380556,28.0,2.1068859821267374
007003700,2020,1,59653.67276000212,2.0,0.0559198307296127
009000122,2012,1,543415.5818016458,7.0,0.3348871213493063
009000122,2018,1,550320.4953696721,15.0,0.3391423667000113
009000122,2021,1,2607545.690317519,1.0,1.6069349118074536
009000220,2016,2,1485453.0933559076,4.0,0.5363154604874655
009000220,2018,3,4140943.498678929,15.333333333333334,1.128277601792272
009000220,2020,1,5657520.495696601,7.0,2.2017109451075894
009000400,2015,1,45650688.47143151,18.0,9.841040314900846
009000400,2018,1,39291.1972442503,11.0,0.008470107878950533
009000400,2022,1,1397753.837376793,24.0,0.30131751183863453
009000504,2012,1,4576360.473423403,16.0,1.2689104999209233
011000100,2017,1,11.229276304503632,2.0,1.984602329342252e-06
011000100,2019,1,647080.7711029451,5.0,0.11436160005150492
011000400,2012,2,135971313.23178166,11.0,11.108653792008333
011000400,2018,1,293538345.5373085,54.0,27.29052806620699
011000400,2019,1,7766.012067311266,1.0,0.0007220132344124117
011000400,2020,2,264236.2479999931,45.0,0.01907685331482239
013355107,2013,1,1373300.6610574415,2.0,1.6736439305147948
013355107,2018,1,6364.357521448966,9.0,0.0077562537028107595
013355107,2019,3,2996526.309374454,7.0,1.676468592467439
013355107,2020,1,54120.551117470866,26.0,0.0659568108152845
013355112,2018,1,993411.8469754827,9.0,0.3911834780967892
013355112,2019,1,61.145181584839854,7.0,2.4077611792169134e-05
013355112,2020,1,13322320.530577017,26.0,5.246033351965853
013355306,2013,1,12576523.131863207,8.0,18.679636807666423
015000201,2017,1,29447.82627583592,1.0,0.03200895564278664
015000202,2015,8,146038422.76761946,55.625,2.209855963622036
