Median_Household_Income,Total_Population,PRICE,Avg_Household_Size,Gini_Index,ZIP_CODE,YEAR,Employment_Rate,Below_Poverty_Rate,Rate_College_or_Higher,Black_Portion,White_Portion,American_Indian_and_Alaska_Native_Portion,Asian_Portion,NUM_FIRES,TOTAL_ACRES_BURNED_IN_ZIP,AVG_FIRE_DURATION_DAYS,MAX_PCT_ZIP_BURNED,ANY_MAJOR_FIRE,FIRE_EXPOSED,NEXT_YEAR_PRICE,PRICE_CHANGE,PCT_PRICE_CHANGE (%),ROLLING_1yr_PRICE_CHANGE,HOME_PRICE_LAG1,PRICE_CHANGE_LAG1,PRICE_CHANGE_DIFF,PREV_MAX_PCT_ZIP_BURNED,FIRE_LAST_YEAR,FIRE_SHOCK
35658.0,54480,263100.0,4.24,0.4056,90001,2012,89.36927551330469,30.63212664673973,16.684648313785544,9.117107195301028,69.79992657856094,0.4111600587371512,0.1505139500734214,0.0,0.0,0.0,0.0,0.0,0,249600.0,-13500.0,-5.131128848346636,,,,,0.0,0,0
35097.0,54760,249600.0,4.23,0.4108,90001,2013,87.74573773942328,32.05569805789666,17.05724295092004,8.506208911614317,60.05478451424398,0.429145361577794,0.1424397370343316,0.0,0.0,0.0,0.0,0.0,0,241800.0,-7800.0,-3.125,-5.131128848346636,263100.0,-13500.0,5700.0,0.0,0,0
34050.0,56314,241800.0,4.22,0.4181,90001,2014,87.02396016163925,33.644360554150786,18.102683703971355,9.464786731541002,49.89345455836914,0.8221756579181021,0.1473878609226835,0.0,0.0,0.0,0.0,0.0,0,258500.0,16700.0,6.906534325889164,-3.125,249600.0,-7800.0,24500.0,0.0,0,0
33887.0,57227,258500.0,4.25,0.4223,90001,2015,87.32923224414796,32.51724983363105,17.484798581200913,8.894402991594877,42.79972740140144,0.9278836912646128,0.1695004106453247,0.0,0.0,0.0,0.0,0.0,0,272200.0,13700.0,5.299806576402321,6.906534325889164,241800.0,16700.0,-3000.0,0.0,0,0
34323.0,57942,272200.0,4.26,0.4224,90001,2016,87.72018313028633,32.676416692597584,18.821322494919492,8.893376134755446,35.91695143419281,0.8974491733112423,0.1674087880984432,0.0,0.0,0.0,0.0,0.0,0,305500.0,33300.0,12.233651726671566,5.299806576402321,258500.0,13700.0,19600.0,0.0,0,0
35660.0,58738,305500.0,4.25,0.4187,90001,2017,88.80631320870364,31.851788610945103,19.51822484850312,9.16442507405768,32.367462290169904,0.7558990772583336,0.2247267526984235,0.0,0.0,0.0,0.0,0.0,0,336100.0,30600.0,10.016366612111293,12.233651726671566,272200.0,33300.0,-2700.0,0.0,0,0
38521.0,58975,336100.0,4.26,0.4163,90001,2018,90.32918689320388,28.752380304678997,20.541929316165263,8.86477320898686,37.8160237388724,0.9495548961424332,0.2187367528613819,0.0,0.0,0.0,0.0,0.0,0,359000.0,22900.0,6.813448378458792,10.016366612111293,305500.0,30600.0,-7700.0,0.0,0,0
32299.0,48613,238300.0,4.18,0.4559,90002,2012,89.95110158782484,32.53933792361929,23.457993259430708,27.157344743175692,59.21461337502314,0.152222656491062,0.1542797194166169,0.0,0.0,0.0,0.0,0.0,0,216100.0,-22200.0,-9.31598825010491,,,,,0.0,0,0
31258.0,49475,216100.0,4.23,0.4548,90002,2013,86.4428321770905,34.753299492385786,24.093172816752283,26.05760485093482,53.32592218292067,0.3860535624052552,0.135421930267812,0.0,0.0,0.0,0.0,0.0,0,218800.0,2700.0,1.2494215640906987,-9.31598825010491,238300.0,-22200.0,24900.0,0.0,0,0
30214.0,50098,218800.0,4.21,0.4479,90002,2014,85.67682895480952,36.32517195051034,22.330097087378643,24.583815721186475,48.3751846381093,0.4091979719749291,0.3014092378937283,0.0,0.0,0.0,0.0,0.0,0,227200.0,8400.0,3.8391224862888484,1.2494215640906987,216100.0,2700.0,5700.0,0.0,0,0
30413.0,50626,227200.0,4.16,0.4505,90002,2015,85.61588738059326,37.14132634837481,22.948906208818105,23.191640658949947,44.07616639671315,0.7367755698652866,0.2804882866511279,0.0,0.0,0.0,0.0,0.0,0,248200.0,21000.0,9.242957746478874,3.8391224862888484,218800.0,8400.0,12600.0,0.0,0,0
32520.0,51826,248200.0,4.12,0.4418,90002,2016,86.59094122637508,35.475867416165926,22.8570415292407,21.58762011345657,37.76675799791611,0.7930382433527573,0.6000848994713078,0.0,0.0,0.0,0.0,0.0,0,272400.0,24200.0,9.75020145044319,9.242957746478874,227200.0,21000.0,3200.0,0.0,0,0
34000.0,52856,272400.0,4.16,0.4444,90002,2017,87.69486977841514,33.82436799087626,23.33482188863316,21.569925836234297,37.68351748145906,0.8797487513243529,0.5656879067655517,0.0,0.0,0.0,0.0,0.0,0,306000.0,33600.0,12.334801762114537,9.75020145044319,248200.0,24200.0,9400.0,0.0,0,0
35410.0,53111,306000.0,4.17,0.4518,90002,2018,89.66759381697142,32.86025167943987,22.43348631767832,19.495019864058293,40.49820187908343,1.144772269398053,0.6062774189904163,0.0,0.0,0.0,0.0,0.0,0,345900.0,39900.0,13.039215686274511,12.334801762114537,272400.0,33600.0,6300.0,0.0,0,0
29174.0,67226,248400.0,4.08,0.437,90003,2012,85.75515511796397,38.9103953366714,21.83813287090997,25.806979442477612,37.219230654806175,0.7690476898818909,0.1918900425430637,0.0,0.0,0.0,0.0,0.0,0,231700.0,-16700.0,-6.723027375201288,,,,,0.0,0,0
